"filename", "language", "Python", "Markdown", "JSON with Comments", "JSON", "comment", "blank", "total"
"c:\Users\ollie\Programming-Challenges\App Editor\Data\elements.json", "JSON", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ollie\Programming-Challenges\App Editor\Data\window.json", "JSON", 0, 0, 0, 15, 0, 0, 15
"c:\Users\ollie\Programming-Challenges\App Editor\data.py", "Python", 21, 0, 0, 0, 3, 20, 44
"c:\Users\ollie\Programming-Challenges\App Editor\main.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ollie\Programming-Challenges\Message App\app.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ollie\Programming-Challenges\Message App\client.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ollie\Programming-Challenges\Message App\server.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ollie\Programming-Challenges\Music App\app.py", "Python", 77, 0, 0, 0, 5, 18, 100
"c:\Users\ollie\Programming-Challenges\Paint App\app.py", "Python", 6, 0, 0, 0, 0, 4, 10
"c:\Users\ollie\Programming-Challenges\Problem_Downloader\problem_downloader.py", "Python", 202, 0, 0, 0, 5, 91, 298
"c:\Users\ollie\Programming-Challenges\Text Editor\PROJECT_TREE.md", "Markdown", 0, 29, 0, 0, 0, 0, 29
"c:\Users\ollie\Programming-Challenges\Text Editor\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 3
"c:\Users\ollie\Programming-Challenges\Text Editor\core\commands.py", "Python", 5, 0, 0, 0, 0, 4, 9
"c:\Users\ollie\Programming-Challenges\Text Editor\core\editor.py", "Python", 5, 0, 0, 0, 0, 4, 9
"c:\Users\ollie\Programming-Challenges\Text Editor\core\settings.py", "Python", 28, 0, 0, 0, 2, 16, 46
"c:\Users\ollie\Programming-Challenges\Text Editor\data\settings.json", "JSON with Comments", 0, 0, 16, 0, 0, 1, 17
"c:\Users\ollie\Programming-Challenges\Text Editor\gui\colours.py", "Python", 26, 0, 0, 0, 0, 0, 26
"c:\Users\ollie\Programming-Challenges\Text Editor\gui\command_line.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ollie\Programming-Challenges\Text Editor\gui\window.py", "Python", 56, 0, 0, 0, 1, 38, 95
"c:\Users\ollie\Programming-Challenges\Text Editor\main.py", "Python", 6, 0, 0, 0, 0, 2, 8
"c:\Users\ollie\Programming-Challenges\Text Editor\utils\colour_format.py", "Python", 39, 0, 0, 0, 2, 13, 54
"c:\Users\ollie\Programming-Challenges\Text Editor\utils\errors.json", "JSON", 0, 0, 0, 10, 0, 1, 11
"c:\Users\ollie\Programming-Challenges\Text Editor\utils\file_io.py", "Python", 49, 0, 0, 0, 0, 33, 82
"c:\Users\ollie\Programming-Challenges\Text Editor\utils\fpath_error_handling.py", "Python", 18, 0, 0, 0, 0, 10, 28
"c:\Users\ollie\Programming-Challenges\Text Editor\v1.py", "Python", 157, 0, 0, 0, 0, 29, 186
"c:\Users\ollie\Programming-Challenges\Text Editor\v2.py", "Python", 54, 0, 0, 0, 1, 39, 94
"c:\Users\ollie\Programming-Challenges\main.py", "Python", 57, 0, 0, 0, 0, 16, 73
"c:\Users\ollie\Programming-Challenges\problems\problem_1\code\problem.py", "Python", 30, 0, 0, 0, 0, 18, 48
"c:\Users\ollie\Programming-Challenges\problems\problem_1\solution\solution.py", "Python", 29, 0, 0, 0, 0, 18, 47
"c:\Users\ollie\Programming-Challenges\problems\problem_2\code\problem.py", "Python", 33, 0, 0, 0, 0, 19, 52
"c:\Users\ollie\Programming-Challenges\problems\problem_2\solution\solution.py", "Python", 45, 0, 0, 0, 0, 20, 65
"c:\Users\ollie\Programming-Challenges\problems\problem_3\code\problem.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ollie\Programming-Challenges\problems\problem_3\solution\solution.py", "Python", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 943, 32, 16, 25, 19, 422, 1457
